epoch,phase,steps,nr_games,average_reward,min_game_reward,max_game_reward,last_exploration_rate,total_train_steps,replay_memory_count,meanq,meancost,weight_updates,total_time,epoch_time,steps_per_second
26,train,50000,51,-20.686274509803923,-21,-16,0.1,1300000,1000000,-0.379955,0.0059267716611553943,325000,8821.883751,350.2117109999999,142.7707824425095
26,test,10000,8,-20.5,-21,-20,0.05,1300000,1000000,-0.388416,0.0059267716611553943,325000,8865.888423,43.986956000000646,227.34012328563617
27,train,50000,44,-19.772727272727273,-21,-1,0.1,1350000,1000000,-0.476108,0.0058435504663171423,337500,9221.431299,355.53850299999976,140.63174474242535
27,test,10000,8,-20.25,-21,-19,0.05,1350000,1000000,-0.459901,0.0058435504663171423,337500,9262.693795,41.245913999999175,242.4482580262423
28,train,50000,39,-19.82051282051282,-21,-16,0.1,1400000,1000000,-0.422895,0.00574244410766652,350000,9605.381749999999,342.684068999999,145.90698699798662
28,test,10000,6,-19.833333333333332,-21,-19,0.05,1400000,1000000,-0.416336,0.00574244410766652,350000,9649.555792,44.15638199999921,226.46782972391574
29,train,50000,34,-19.26470588235294,-21,-6,0.1,1450000,1000000,-0.546313,0.0056540234673169258,362500,9998.047101999999,348.4860609999996,143.4777616542891
29,test,10000,7,-20.285714285714285,-21,-20,0.05,1450000,1000000,-0.518437,0.0056540234673169258,362500,10043.847823999999,45.784600999999384,218.4140471159754
30,train,50000,33,-19.757575757575758,-21,-17,0.1,1500000,1000000,-0.588845,0.0055611353359295091,375000,10394.025526,350.17410500000005,142.78611492417463
30,test,10000,7,-21.0,-21,-21,0.05,1500000,1000000,-0.581485,0.0055611353359295091,375000,10440.128751,46.08432100000027,216.99354103535433
31,train,50000,35,-19.171428571428574,-21,-1,0.1,1550000,1000000,-0.489244,0.0054806693171471797,387500,10789.327067,349.1941560000014,143.18681782291856
31,test,10000,5,-19.4,-21,-16,0.05,1550000,1000000,-0.492063,0.0054806693171471797,387500,10835.726526999999,46.38347900000008,215.5940049257621
32,train,50000,29,-19.31034482758621,-21,-15,0.1,1600000,1000000,-0.466075,0.00540243578864076,400000,11194.865532,359.1340309999996,139.2237874555532
32,test,10000,4,-19.75,-21,-18,0.05,1600000,1000000,-0.45154,0.00540243578864076,400000,11238.193501,43.31433900000047,230.87042838169344
33,train,50000,29,-19.655172413793103,-21,-14,0.1,1650000,1000000,-0.447162,0.0053286974172671638,412500,11591.065755,352.8682970000009,141.6959257181437
33,test,10000,5,-20.6,-21,-20,0.05,1650000,1000000,-0.440693,0.0053286974172671638,412500,11635.030528,43.94513000000006,227.55650057241806
34,train,50000,24,-18.66666666666666,-21,-15,0.1,1700000,1000000,-0.522635,0.0052638113163132206,425000,11983.336831999999,348.30223099999967,143.5534876031272
34,test,10000,4,-18.0,-20,-13,0.05,1700000,1000000,-0.539114,0.0052638113163132206,425000,12028.665898,45.31068199999936,220.69850990104587
35,train,50000,22,-18.77272727272727,-21,-12,0.1,1750000,1000000,-0.450929,0.005200372439805096,437500,12378.096123,349.4257230000003,143.09192686423935
35,test,10000,4,-19.5,-21,-18,0.05,1750000,1000000,-0.457101,0.005200372439805096,437500,12422.011519,43.89916099999937,227.79478632860761
36,train,50000,22,-18.22727272727273,-21,-2,0.1,1800000,1000000,-0.551402,0.0051418577559513299,450000,12772.43398,350.41774799999985,142.68683674092907
36,test,10000,5,-20.8,-21,-20,0.05,1800000,1000000,-0.546367,0.0051418577559513299,450000,12816.510361999999,44.06037800000013,226.96128480786004
37,train,50000,20,-18.450000000000003,-21,-15,0.1,1850000,1000000,-0.327649,0.0050909309112320998,462500,13167.130008999999,350.61573599999974,142.6062633994272
37,test,10000,4,-18.25,-19,-17,0.05,1850000,1000000,-0.30834,0.0050909309112320998,462500,13212.710978,45.5633170000001,219.47480250395245
38,train,50000,21,-18.714285714285715,-21,-15,0.1,1900000,1000000,-0.504256,0.0050421251276000891,475000,13558.680433,345.96624300000076,144.5227706796813
38,test,10000,3,-16.666666666666668,-19,-15,0.05,1900000,1000000,-0.508428,0.0050421251276000891,475000,13605.795962,47.09775200000149,212.3243589205634
39,train,50000,19,-18.052631578947373,-21,-12,0.1,1950000,1000000,-0.501487,0.0049920617332861383,487500,13942.641151,336.8412530000005,148.4378755710184
39,test,10000,3,-18.333333333333332,-20,-17,0.05,1950000,1000000,-0.499219,0.0049920617332861383,487500,13987.277974999999,44.62096399999973,224.10990493168325
40,train,50000,20,-17.800000000000004,-20,-7,0.1,2000000,1000000,-0.401014,0.0049430752306330178,500000,14318.651092999999,331.3692919999994,150.88905703428938
40,test,10000,3,-16.0,-19,-14,0.05,2000000,1000000,-0.391961,0.0049430752306330178,500000,14354.3951,35.72972599999957,279.87900047148753
41,train,50000,18,-18.055555555555557,-21,-4,0.1,2050000,1000000,-0.419889,0.0049039711410752375,512500,14683.813784,329.41547400000127,151.7840051436072
41,test,10000,2,-18.5,-19,-18,0.05,2050000,1000000,-0.425804,0.0049039711410752375,512500,14725.269774999999,41.44162399999914,241.30328483266504
42,train,50000,19,-17.73684210526316,-21,-4,0.1,2100000,1000000,-0.364313,0.0048669878026345002,525000,15034.743077,309.4700979999998,161.5664980983075
42,test,10000,4,-17.5,-21,-14,0.05,2100000,1000000,-0.353259,0.0048669878026345002,525000,15072.726088,37.968323999999484,263.3774406265638
43,train,50000,17,-17.41176470588235,-20,-10,0.1,2150000,1000000,-0.411534,0.0048302072162213971,537500,15382.262593,309.5329099999999,161.53371219880955
43,test,10000,3,-17.0,-18,-15,0.05,2150000,1000000,-0.407218,0.0048302072162213971,537500,15420.280781,38.00331200000073,263.13496044765276
44,train,50000,16,-16.875,-20,-9,0.1,2200000,1000000,-0.247647,0.0047948743447250031,550000,15727.170236,306.88628600000084,162.92679823431362
44,test,10000,3,-16.666666666666668,-17,-16,0.05,2200000,1000000,-0.246774,0.0047948743447250031,550000,15764.856899999999,37.67261799999869,265.4447853876348
45,train,50000,18,-18.222222222222218,-21,-15,0.1,2250000,1000000,-0.333772,0.0047678424687278972,562500,16072.432088,307.57186700000057,162.56363264849549
45,test,10000,3,-18.333333333333332,-21,-15,0.05,2250000,1000000,-0.334893,0.0047678424687278972,562500,16110.119448,37.672575000000506,265.44508836998443
46,train,50000,17,-16.705882352941174,-21,-11,0.1,2300000,1000000,-0.367912,0.004740510689991837,575000,16418.756697,308.63406900000155,162.00414996958665
