epoch,phase,steps,nr_games,average_reward,min_game_reward,max_game_reward,last_exploration_rate,total_train_steps,replay_memory_count,meanq,meancost,weight_updates,total_time,epoch_time,steps_per_second
48,train,250000,167,1187.305389221557,0,2260,0.1,12000000,1000000,9.98124,0.00046284568395101001,3000000,85660.643262,1396.8614039999957,178.97265919446994
48,test,125000,90,1176.666666666666,440,2780,0.05,12000000,1000000,9.93487,0,3000000,86077.66511100001,417.00834100000793,299.7541960437612
49,train,250000,174,1137.4712643678165,300,2120,0.1,12250000,1000000,10.1303,0.00047453165262526567,3062500,87474.83769100001,1397.169761000012,178.9331597193062
49,test,125000,61,2099.3442622950824,1280,2440,0.05,12250000,1000000,10.2063,0,3062500,87891.906726,417.05554400000256,299.7202693941391
50,train,250000,165,1251.5151515151513,360,2180,0.1,12500000,1000000,9.95557,0.00046041800877366223,3125000,89289.050835,1397.1412220000057,178.936814735253
50,test,125000,130,739.0769230769226,200,1780,0.05,12500000,1000000,9.9496,0,3125000,89706.482908,417.4185930000094,299.45958827952154
51,train,250000,184,1061.4130434782614,140,1980,0.1,12750000,1000000,10.5183,0.00051303248262708778,3187500,91103.28542300001,1396.799669,178.98056933173572
51,test,125000,91,1125.0549450549458,240,2040,0.05,12750000,1000000,10.4663,0,3187500,91520.281697,416.98264899999776,299.77266512113476
52,train,250000,179,1104.8044692737426,200,2000,0.1,13000000,1000000,9.07025,0.00049935716145063213,3250000,92916.599805,1396.3152970000083,179.04265643807418
52,test,125000,86,1073.0232558139537,440,1800,0.05,13000000,1000000,9.39139,0,3250000,93333.57574500001,416.9624210000038,299.7872079220272
53,train,250000,176,1170.0,140,2200,0.1,13250000,1000000,9.57583,0.00046008677317001392,3312500,94730.098203,1396.5196409999917,179.01645824399938
53,test,125000,105,844.761904761905,360,1260,0.05,13250000,1000000,9.63048,0,3312500,95147.19393400001,417.0822370000096,299.7010874860085
54,train,250000,182,1065.8241758241759,240,2020,0.1,13500000,1000000,10.2289,0.00039580020722222318,3375000,96543.55153900001,1396.3547760000074,179.03759438281799
54,test,125000,66,1733.6363636363635,1060,2260,0.05,13500000,1000000,10.1918,0,3375000,96960.30949500001,416.74441900000966,299.94402876453904
55,train,250000,163,1272.7607361963182,360,2140,0.1,13750000,1000000,9.98356,0.00035717702590389733,3437500,98356.474283,1396.1619610000052,179.06232012003588
55,test,125000,75,1414.9333333333336,480,1940,0.05,13750000,1000000,10.011,0,3437500,98773.741582,417.2536989999935,299.5779313630529
56,train,250000,179,1113.0726256983241,200,2040,0.1,14000000,1000000,10.3205,0.00040682968354401381,3500000,100170.837792,1397.093378999998,178.94294236720475
56,test,125000,124,603.2258064516132,180,1200,0.05,14000000,1000000,10.3384,0,3500000,100588.503693,417.6523520000046,299.29198148032606
57,train,250000,163,1275.0920245398781,220,2180,0.1,14250000,1000000,10.3596,0.00045055648265818394,3562500,101985.291455,1396.7849369999894,178.98245705380333
57,test,125000,113,725.6637168141596,220,1580,0.05,14250000,1000000,10.3642,0,3562500,102402.869296,417.5643390000041,299.35506537592227
58,train,250000,162,1245.8024691358025,120,2120,0.1,14500000,1000000,9.75488,0.00048557784788425798,3625000,103802.067805,1399.1956479999935,178.6740834688482
58,test,125000,76,643.9473684210526,200,1100,0.05,14500000,1000000,9.73641,0,3625000,104221.497273,419.4159320000035,298.0335043638708
59,train,250000,162,1255.0617283950626,420,2100,0.1,14750000,1000000,10.1746,0.00040573100142629224,3687500,105620.491219,1398.991108000002,178.70020657772446
59,test,125000,75,1347.2,480,2060,0.05,14750000,1000000,10.005,0,3687500,106037.963175,417.4584329999925,299.43100945813745
60,train,250000,161,1245.0931677018639,100,2060,0.1,15000000,1000000,10.341,0.00036375089232809751,3750000,107436.048078,1398.082076000006,178.8163973285921
60,test,125000,120,688.4999999999999,160,1600,0.05,15000000,1000000,10.3111,0,3750000,107854.042436,417.9808849999972,299.05673796542357
61,train,250000,167,1157.6047904191616,160,2060,0.1,15250000,1000000,10.1441,0.00034971738457160838,3812500,109251.10905900001,1397.0637920000008,178.94673201866206
61,test,125000,118,433.72881355932213,160,920,0.05,15250000,1000000,10.2023,0,3812500,109667.176561,416.05397500000254,300.4417876310381
62,train,250000,186,1007.849462365592,220,2040,0.1,15500000,1000000,10.3549,0.00039736350266365074,3875000,111062.098343,1394.9189449999976,179.22188303206423
62,test,125000,155,488.6451612903227,200,920,0.05,15500000,1000000,10.2739,0,3875000,111479.591893,417.4801000000007,299.4154691445168
63,train,250000,180,1099.6666666666667,240,2020,0.1,15750000,1000000,11.0524,0.0004657940860373533,3937500,112874.05928500001,1394.4644460000127,179.28029697502788
